GPS Time,Device Time,Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), Absolute Throttle Position B(%),AccX,AccY,AccZ,Actual engine % torque(%),Air Fuel Ratio,Ambient air temp(°C),Barometric pressure (from vehicle)(psi),CO₂ in g/km (Average) ,CO₂ in g/km (Instantaneous),Engine Coolant Temperature(°C),Engine Load(%),Engine Load(Absolute)(%),Engine RPM,Fuel used (trip)(gal),GPS Latitude(°),GPS Longitude(°),GPS Satellites,Intake Air Temperature(°C),Intake Manifold Pressure(psi),Mass Air Flow Rate(g/s),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Torque(Nm),Trip Distance(km)
Sun Aug 29 15:03:09 CST 2021,29-Aug.-2021 15:03:08.115,-104.53140157,50.44743492,17.53,3.8403668,558.3393554688,88.2,0.29700911,0.0526421,10.16530895,0.00151178,43.13725662,0.03881324,0.18754143,0.0568631,-0,-0,38,13.63354778,435.9682312,604.76019287,88,95.6862793,71.37255096,3603,0.03793446,50.44743347,-104.53140259,11,56,13.05339622,-0,63.10800171,64,43.52941132,78.57282257,0.55452621
Sun Aug 29 15:03:10 CST 2021,29-Aug.-2021 15:03:08.611,-104.53114394,50.4474413,18.65,3.827262,558.2155761719,88,0.05383851,0.17826529,9.30239677,0.01564237,44.31372452,0.02353796,0.18388268,0.07991324,-0,-0,37,13.63354778,435.9682312,604.76019287,88,95.6862793,71.37255096,3603,0.03793446,50.4474411,-104.53114319,13,56,13.05339622,-0,67.13999939,64,43.52941132,78.57282257,0.55452621
Sun Aug 29 15:03:10 CST 2021,29-Aug.-2021 15:03:09.114,-104.53114394,50.4474413,18.65,3.827262,558.2155761719,88,-0.13998012,0.05383851,9.51416206,-0.02067055,44.31372452,-0.00390267,0.19912747,-0.04332568,-0,-0,37,13.63354778,435.9682312,604.76019287,88,95.6862793,72.15686035,3603,0.03793446,50.4474411,-104.53114319,13,56,13.05339622,-0,67.13999939,64,43.52941132,78.57282257,0.55452621
Sun Aug 29 15:03:11 CST 2021,29-Aug.-2021 15:03:09.618,-104.53087083,50.4474473,19.71,3.8256133,558.4233398438,87.7,-0.45373899,0.2117648,9.22792053,-0.00144893,44.31372452,0.01365933,0.18315092,0.0347886,-0,-0,37,13.63354778,435.9682312,604.76019287,88,95.6862793,72.15686035,3603,0.03793446,50.44744873,-104.53086853,14,56,13.05339622,-0,70.95599365,64,43.52941132,78.57282257,0.55452621
Sun Aug 29 15:03:11 CST 2021,29-Aug.-2021 15:03:10.111,-104.53087083,50.4474473,19.71,3.8256133,558.4233398438,87.7,0.32452658,0.08973085,9.40289593,-0.0275548,44.31372452,0.04100849,0.19010255,-0.00207329,-0,-0,37,13.63354778,440.4286499,587.62268066,88,95.6862793,72.15686035,3603,0.04011251,50.44744873,-104.53086853,14,56,13.05339622,-0,70.95599365,64,43.52941132,78.57282257,0.55452621
Sun Aug 29 15:03:12 CST 2021,29-Aug.-2021 15:03:10.613,-104.53058114,50.44745121,20.78,3.8453887,558.494140625,89.5,0.69062841,0.40588254,7.9220376,-0.18152672,44.31372452,0.01634242,0.17656517,0.09567628,-0,-0,37,13.63354778,440.4286499,587.62268066,88,95.6862793,72.15686035,3603,0.04011251,50.44745255,-104.53057861,13,56,13.05339622,-0,74.80799866,64,43.52941132,78.57282257,0.55452621
Sun Aug 29 15:03:12 CST 2021,29-Aug.-2021 15:03:11.112,-104.53058114,50.44745121,20.78,3.8453887,558.494140625,89.5,0.49322057,0.00717847,9.5691967,-0.00798464,44.31372452,0.08860273,0.18400463,0.00817117,-0,-0,37,13.63354778,440.4286499,587.62268066,88,99.21569061,72.15686035,3721,0.04011251,50.44745255,-104.53057861,13,56,13.05339622,-0,74.80799866,76,43.52941132,-0,0.61713731
Sun Aug 29 15:03:13 CST 2021,29-Aug.-2021 15:03:11.611,-104.5302801,50.44745215,21.76,3.875994,558.6268310547,92.7,1.09292173,-1.24725878,10.16291618,-0.011504,15.68627453,0.11860447,0.06491233,-0.00146347,-0,-0,36,13.63354778,440.4286499,587.62268066,88,99.21569061,17.64705849,3721,0.04011251,50.44745255,-104.53028107,13,55,13.05339622,-0,78.33599854,76,48.62745285,-0,0.61713731
Sun Aug 29 15:03:13 CST 2021,29-Aug.-2021 15:03:12.111,-104.5302801,50.44745215,21.76,3.875994,558.6268310547,92.7,-0.23808585,-1.68065882,10.00139999,-0.00691628,15.68627453,0.00024392,0.00268307,0.06161941,-0,-0,36,13.63354778,432.40145874,159.47671509,87,15.29411793,17.64705849,1996,0.0405759,50.44745255,-104.53028107,13,55,4.06105661,-0,78.33599854,77,14.90196133,-0,0.63709104
Sun Aug 29 15:03:14 CST 2021,29-Aug.-2021 15:03:12.611,-104.52997486,50.44745143,21.59,3.8821018,558.3538818359,92.5,-0.50757748,-3.03439832,8.95753193,-0.0165889,14.90196133,-0.0389352,-0.12701961,-0.03219696,-0,-0,36,13.63354778,422.31689453,69.35708618,87,15.29411793,10.5882349,1705,0.04064869,50.44745255,-104.52997589,14,55,3.33586788,-0,77.72399902,76,14.90196133,-0,0.64933103
Sun Aug 29 15:03:14 CST 2021,29-Aug.-2021 15:03:13.113,-104.52997486,50.44745143,21.59,3.8821018,558.3538818359,92.5,-0.87278205,-1.72253323,9.96550846,0.02343441,14.90196133,-0.12153149,-0.00048783,0.0282029,-0,-0,36,13.63354778,422.31689453,69.35708618,87,15.29411793,10.5882349,1705,0.04064869,50.44745255,-104.52997589,14,55,3.33586788,-0,77.72399902,76,14.90196133,-0,0.64933103
Sun Aug 29 15:03:15 CST 2021,29-Aug.-2021 15:03:13.613,-104.52968195,50.4474545,20.59,3.8303752,557.5216064453,91,-2.18225431,-1.36570358,9.49980545,-0.00029366,14.90196133,-0.22525704,0.03600819,-0.02609908,-0,-0,36,13.63354778,422.31689453,69.35708618,87,15.29411793,11.37254906,1705,0.04064869,50.44745636,-104.52967834,14,55,3.33586788,-0,74.12400055,76,14.90196133,-0,0.64933103
Sun Aug 29 15:03:15 CST 2021,29-Aug.-2021 15:03:14.111,-104.52968195,50.4474545,20.59,3.8303752,557.5216064453,91,-1.54546428,-1.29750812,9.83988476,0.02584128,14.90196133,-0.18168743,0.03219699,0.0613755,-0,-0,36,13.63354778,412.59573364,62.63473129,87,29.01960754,11.37254906,1437,0.04080957,50.44745636,-104.52967834,14,55,3.48090577,-0,74.12400055,72,14.90196133,-0,0.68012327
Sun Aug 29 15:03:16 CST 2021,29-Aug.-2021 15:03:14.611,-104.52939938,50.44746832,20.15,3.8427193,557.0249023438,86.1,-0.52073801,-1.36570358,10.2969141,0.06696415,17.64705849,-0.06076574,0.0632049,0.02612961,-0,-0,35,13.63354778,412.59573364,62.63473129,87,29.01960754,26.27450943,1437,0.04080957,50.4474678,-104.52939606,15,55,3.48090577,-0,72.53999329,72,17.64705849,-0,0.68012327
Sun Aug 29 15:03:16 CST 2021,29-Aug.-2021 15:03:15.113,-104.52939938,50.44746832,20.15,3.8427193,557.0249023438,86.1,-0.61286169,-0.82582289,8.60788059,-0.06910131,17.64705849,-0.10311577,0.07759599,-0.07759593,-0,-0,35,13.63354778,404.73181152,113.7662735,87,29.01960754,26.27450943,1394,0.04096606,50.4474678,-104.52939606,15,55,7.10684919,-0,72.53999329,71,17.64705849,-0,0.69704491
Sun Aug 29 15:03:17 CST 2021,29-Aug.-2021 15:03:15.614,-104.52911846,50.44749021,20.06,3.8141985,557.4404296875,83.9,0.27038896,-0.80548394,8.83190823,-0.00003042,27.84313774,0.10970152,0.06808323,0.0480821,-0,-0,35,13.63354778,399.62484741,205.56071472,87,42.74509811,64.70587921,1654,0.04126782,50.44749069,-104.5291214,14,55,13.05339622,-0,72.21599579,71,26.66666794,-0,0.69704491
Sun Aug 29 15:03:17 CST 2021,29-Aug.-2021 15:03:16.115,-104.52911846,50.44749021,20.06,3.8141985,557.4404296875,83.9,0.74087769,-0.78753775,9.35982513,-0.03083517,34.11764908,0.09945703,0.12665373,-0.00573206,-0,-0,35,13.63354778,399.62484741,205.56071472,88,92.94117737,67.45098114,1654,0.04126782,50.44749069,-104.5291214,14,55,13.05339622,-0,72.21599579,71,32.54901886,-0,0.71311849
